name,lat,lon,n_samples,lat_spread,lon_spread
Bratislava hlavná stanica,48.1589,17.1067,111835,0.0,0.0
Košice,48.72291,21.26872,79994,0.0,0.0
Trnava,48.369779,17.58482,62025,0.0,0.0
Čadca,49.44528,18.78681,55761,0.0,0.0
Žilina,49.2271,18.74604,50936,0.0,0.0
Púchov,49.11377,18.32717,48482,0.0,0.0
Nové Zámky,47.99509,18.17413,42119,0.0,0.0
Kúty,48.66195,17.04753,41633,0.0,0.0
Starý Smokovec,49.139298,20.222847,41523,0.0,0.0
Vrútky,49.11519,18.92442,41455,0.0,0.0
Kysak,48.85288,21.22393,40746,0.0,0.0
Galanta,48.185,17.72297,40146,0.0,0.0
Štrbské Pleso,49.11853,20.0641,38525,0.0,0.0
Prešov,48.983379,21.249126,37449,0.0,0.0
Poprad-Tatry,49.06002,20.29486,37130,0.0,0.0
Zvolen osobná stanica,48.56971,19.1205,35922,0.0,0.0
Zohor,48.325796,16.991366,35797,0.0,0.0
Margecany,48.89469,21.01324,35682,0.0,0.0
Trenčín,48.8966,18.05174,33378,0.0,0.0
Kostoľany nad Hornádom,48.7958,21.24601,33051,0.0,0.0
Leopoldov,48.44168,17.75852,32813,0.0,0.0
Humenné,48.93015,21.90119,32360,0.0,0.0
Banská Bystrica,48.73475,19.16267,31387,0.0,0.0
Spišská Nová Ves,48.95041,20.56151,30970,0.0,0.0
Nitra,48.3015,18.07925,30907,0.0,0.0
Cífer,48.32293,17.48665,30026,0.0,0.0
Pezinok,48.28259,17.2707,29651,0.0,0.0
Liptovský Mikuláš,49.092,19.60618,29342,0.0,0.0
Devínska Nová Ves,48.21905,16.97637,28685,0.0,0.0
Kraľovany,49.152946,19.129828,28661,0.0,0.0
Senec,48.21356,17.41417,28602,0.0,0.0
Šurany,48.08545,18.17267,28151,0.0,0.0
Lučenec,48.336,19.6675,27815,0.0,0.0
Šenkvice,48.3019,17.34554,27182,0.0,0.0
Sládkovičovo,48.19587,17.62928,26660,0.0,0.0
Markušovce,48.91024,20.63426,26135,0.0,0.0
Považská Bystrica,49.12262,18.43227,25614,0.0,0.0
Turzovka,49.4036,18.6284,25515,0.0,0.0
Ružomberok,49.08358,19.30903,25079,0.0,0.0
Čierna nad Tisou,48.420059,22.087412,24976,0.0,0.0
Krásno nad Kysucou,49.378727,18.835748,24595,0.0,0.0
Bratislava-Nové Mesto,48.171969,17.14668,24351,0.0,0.0
Trenčianska Teplá,48.93764,18.113322,24286,0.0,0.0
Michaľany,48.52172,21.6262,23812,0.0,0.0
Kysucké Nové Mesto,49.306219,18.784211,23391,0.0,0.0
Ladce,49.03435,18.29039,23264,0.0,0.0
Spišské Vlachy,48.93557,20.80377,22756,0.0,0.0
Ľubochňa,49.12698,19.17215,22547,0.0,0.0
Malacky,48.43255,17.02305,22530,0.0,0.0
Kvetoslavov,48.05565,17.35944,22089,0.0,0.0
Dunajská Streda,47.99335,17.607965,21936,0.0,0.0
Potok odb.,49.19627,18.86786,21832,0.0,0.0
Bratislava-Lamač,48.18495,17.05066,21676,0.0,0.0
Bernolákovo,48.19787,17.30602,21502,0.0,0.0
Vyšné Hágy,49.118947,20.123146,21234,0.0,0.0
Lužianky,48.35184,18.02384,21132,0.0,0.0
Levice,48.21109,18.59264,20509,0.0,0.0
Vydrník,48.9955,20.405,20466,0.0,0.0
Trnava nákladná stanica,48.3667,17.5783,19785,0.0,0.0
Štrba OŽ,49.08458,20.06444,19489,0.0,0.0
Trenčín-Zlatovce,48.90075,18.02243,18723,0.0,0.0
Nové Mesto nad Váhom,48.751821,17.835449,18696,0.0,0.0
Brestovany,48.38156,17.691,18572,0.0,0.0
Bratislava-Petržalka,48.12139,17.09941,18531,0.0,0.0
Hronská Dúbrava,48.57638,18.98978,18470,0.0,0.0
Topoľčany,48.56238,18.16916,18326,0.0,0.0
Hlohovec,48.43347,17.80695,18274,0.0,0.0
Odb. Vinohrady,48.193442,17.143779,17967,0.0,0.0
Krompachy,48.92171,20.88621,17938,0.0,0.0
Sliač kúpele,48.61427,19.14943,17937,0.0,0.0
Liptovská Teplá,49.09982,19.41664,17673,0.0,0.0
Výh Gánovce,49.02226,20.32061,17619,0.0,0.0
Turany,49.10984,19.03832,17399,0.0,0.0
Vlkanová,48.66943,19.14921,17336,0.0,0.0
Štrba,49.08355,20.06547,17189,0.0,0.0
Východná,49.050259,19.916466,17086,0.0,0.0
Liptovský Hrádok,49.03804,19.72136,16986,0.0,0.0
Nové Košariská,48.09995,17.27674,16896,0.0,0.0
Raslavice,49.14945,21.31413,16890,0.0,0.0
Skalité,49.49823,18.89174,16855,0.0,0.0
Kapušany pri Prešove,49.04386,21.32044,16608,0.0,0.0
Tatranská Polianka,49.12256,20.18579,16427,0.0,0.0
Výh. Paludza,49.091258,19.518573,16380,0.0,0.0
Sekule,48.60749,17.01903,16344,0.0,0.0
Martin,49.06508,18.91541,16328,0.0,0.0
Nižná Myšľa,48.62929,21.37178,16163,0.0,0.0
Budatín odb.,49.233573,18.734264,16158,0.0,0.0
Trenčianske Bohuslavice,48.801744,17.874076,16155,0.0,0.0
Komárno,47.7693,18.1259,16069,0.0,0.0
Sabinov,49.10324,21.0886,15990,0.0,0.0
Veľké Leváre,48.50923,17.01864,15744,0.0,0.0
Dlhé nad Cirochou,48.95489,22.05519,15737,0.0,0.0
Bratislava-Vajnory,48.1948,17.20669,15687,0.0,0.0
Piešťany,48.59647,17.81507,15623,0.0,0.0
Kriváň,48.52854,19.44571,15572,0.0,0.0
Štúrovo,47.80021,18.67968,15388,0.0,0.0
Rimavská Sobota,48.3852,20.02863,15342,0.0,0.0
Ruskov,48.67311,21.42887,15270,0.0,0.0
Svit,49.0609,20.19815,15185,0.0,0.0
Nálepkovo,48.83833,20.63011,15025,0.0,0.0
Výh. Svätý Jur,48.24854,17.21913,15015,0.0,0.0
Drienovská Nová Ves,48.911472,21.245198,15014,0.0,0.0
Dubnica nad Váhom,48.9663,18.16765,14980,0.0,0.0
Príbovce-Rakovo,48.993698,18.87964,14897,0.0,0.0
Lipany,49.15203,20.95992,14836,0.0,0.0
Bratislava-Rača,48.20888,17.16075,14791,0.0,0.0
Koškovce,49.05145,21.95465,14777,0.0,0.0
Veľký Šariš,49.04477,21.20295,14737,0.0,0.0
Dolný Hričov,49.24083,18.643363,14671,0.0,0.0
Lúky pod Makytou,49.19127,18.22782,14658,0.0,0.0
Ilava,49.00207,18.23619,14652,0.0,0.0
Odb. Močiar,48.18854,17.14967,14647,0.0,0.0
